user_plant_id,plant_id,lux_reading,temp_reading,humidity_reading,soil_moisture_pct,pos_x,pos_y,heading_deg,time_stamp
1,1,1846.8,22.3,42.8,27.8,126.5,123.0,137.2,2026-09-14 06:00:00
2,7,11615.6,26.6,47.0,58.2,693.0,481.4,308.7,2026-09-14 06:00:00
1,1,4448.7,21.4,41.0,26.1,130.7,127.3,137.0,2026-09-14 12:00:00
2,7,22300.2,25.8,44.5,52.6,681.2,490.1,319.7,2026-09-14 12:00:00
1,1,2223.1,22.1,41.6,24.7,120.7,128.7,129.9,2026-09-14 18:00:00
2,7,12588.4,26.4,44.8,48.1,681.4,481.8,315.2,2026-09-14 18:00:00
1,1,1900.8,21.8,42.3,22.0,128.5,136.5,130.6,2026-09-15 06:00:00
2,7,11316.3,25.8,43.4,41.3,682.5,484.5,316.0,2026-09-15 06:00:00
1,1,4178.8,21.8,41.9,20.6,132.5,139.0,131.7,2026-09-15 12:00:00
2,7,24953.4,25.7,44.5,36.4,691.5,487.9,313.0,2026-09-15 12:00:00
1,1,2180.8,22.6,41.9,19.2,139.5,120.9,145.5,2026-09-15 18:00:00
2,7,12739.4,26.1,45.6,61.5,697.2,485.8,308.3,2026-09-15 18:00:00
1,1,1869.7,21.3,39.0,16.8,122.9,122.4,135.3,2026-09-16 06:00:00
2,7,11490.3,26.2,46.1,53.0,686.2,496.3,320.9,2026-09-16 06:00:00
1,1,4169.9,21.5,42.0,15.4,123.6,131.6,130.2,2026-09-16 12:00:00
2,7,23571.2,26.1,45.6,47.9,692.8,487.4,311.9,2026-09-16 12:00:00
1,1,2265.6,21.7,40.9,14.1,131.0,121.3,141.0,2026-09-16 18:00:00
2,7,12759.2,25.8,43.8,43.2,681.2,484.1,316.4,2026-09-16 18:00:00
