plant_id,lux_reading,temp_reading,humidity_reading,time_stamp
1,1846.8,22.3,42.8,2026-09-14 06:00:00
2,3151.1,23.4,52.5,2026-09-14 06:00:00
3,1909.3,20.3,42.5,2026-09-14 06:00:00
4,1276.1,21.0,54.1,2026-09-14 06:00:00
5,9580.5,27.8,23.8,2026-09-14 06:00:00
6,3444.1,24.6,59.1,2026-09-14 06:00:00
7,11615.6,26.6,47.0,2026-09-14 06:00:00
8,856.4,17.3,64.6,2026-09-14 06:00:00
9,1122.0,19.9,35.9,2026-09-14 06:00:00
10,2485.4,21.5,46.5,2026-09-14 06:00:00
1,4448.7,21.4,41.0,2026-09-14 12:00:00
2,6520.5,22.5,51.1,2026-09-14 12:00:00
3,3890.4,21.0,42.7,2026-09-14 12:00:00
4,2423.4,20.3,54.1,2026-09-14 12:00:00
5,22307.0,27.3,24.5,2026-09-14 12:00:00
6,7106.7,23.7,59.9,2026-09-14 12:00:00
7,22300.2,25.8,44.5,2026-09-14 12:00:00
8,2143.5,17.4,63.9,2026-09-14 12:00:00
9,2755.1,20.1,37.4,2026-09-14 12:00:00
10,6037.8,22.1,46.5,2026-09-14 12:00:00
1,2223.1,22.1,41.6,2026-09-14 18:00:00
2,3679.8,23.5,52.5,2026-09-14 18:00:00
3,1992.5,20.7,44.7,2026-09-14 18:00:00
4,1360.7,21.7,55.0,2026-09-14 18:00:00
5,10214.2,27.1,22.9,2026-09-14 18:00:00
6,3661.4,23.5,61.7,2026-09-14 18:00:00
7,12588.4,26.4,44.8,2026-09-14 18:00:00
8,948.7,18.3,64.8,2026-09-14 18:00:00
9,1264.3,21.2,37.8,2026-09-14 18:00:00
10,2679.3,22.0,47.2,2026-09-14 18:00:00
1,1900.8,21.8,42.3,2026-09-15 06:00:00
2,3320.3,22.3,52.9,2026-09-15 06:00:00
3,1605.5,20.1,39.4,2026-09-15 06:00:00
4,1249.2,21.2,57.1,2026-09-15 06:00:00
5,9427.5,29.6,22.2,2026-09-15 06:00:00
6,3139.8,23.9,62.4,2026-09-15 06:00:00
7,11316.3,25.8,43.4,2026-09-15 06:00:00
8,600.4,16.6,62.8,2026-09-15 06:00:00
9,1068.8,20.5,34.6,2026-09-15 06:00:00
10,2475.9,21.6,47.9,2026-09-15 06:00:00
1,4178.8,21.8,41.9,2026-09-15 12:00:00
2,6639.5,22.9,51.0,2026-09-15 12:00:00
3,2995.8,20.5,40.6,2026-09-15 12:00:00
4,2762.9,20.2,54.4,2026-09-15 12:00:00
5,21937.2,28.5,20.2,2026-09-15 12:00:00
6,7498.9,23.4,60.4,2026-09-15 12:00:00
7,24953.4,25.7,44.5,2026-09-15 12:00:00
8,1535.3,15.6,62.4,2026-09-15 12:00:00
9,2567.2,20.3,36.3,2026-09-15 12:00:00
10,5337.8,22.7,47.5,2026-09-15 12:00:00
1,2180.8,22.6,41.9,2026-09-15 18:00:00
2,3449.0,23.4,50.1,2026-09-15 18:00:00
3,1684.1,19.8,42.1,2026-09-15 18:00:00
4,1428.5,20.9,55.6,2026-09-15 18:00:00
5,11216.1,29.2,22.3,2026-09-15 18:00:00
6,4156.9,23.9,59.5,2026-09-15 18:00:00
7,12739.4,26.1,45.6,2026-09-15 18:00:00
8,737.2,16.9,63.8,2026-09-15 18:00:00
9,1254.9,20.7,34.6,2026-09-15 18:00:00
10,2800.3,22.7,46.4,2026-09-15 18:00:00
1,1869.7,21.3,39.0,2026-09-16 06:00:00
2,3287.1,23.8,50.4,2026-09-16 06:00:00
3,1127.4,20.1,36.1,2026-09-16 06:00:00
4,1276.0,20.5,54.2,2026-09-16 06:00:00
5,8414.6,31.3,18.5,2026-09-16 06:00:00
6,3576.6,23.2,61.7,2026-09-16 06:00:00
7,11490.3,26.2,46.1,2026-09-16 06:00:00
8,370.1,15.3,62.2,2026-09-16 06:00:00
9,1151.1,21.0,37.5,2026-09-16 06:00:00
10,2439.7,22.7,48.9,2026-09-16 06:00:00
1,4169.9,21.5,42.0,2026-09-16 12:00:00
2,6357.2,23.2,53.3,2026-09-16 12:00:00
3,2551.2,20.5,36.3,2026-09-16 12:00:00
4,2513.5,21.8,55.9,2026-09-16 12:00:00
5,21327.5,30.8,15.5,2026-09-16 12:00:00
6,8021.9,23.9,62.9,2026-09-16 12:00:00
7,23571.2,26.1,45.6,2026-09-16 12:00:00
8,913.5,15.0,64.4,2026-09-16 12:00:00
9,2519.6,20.1,34.4,2026-09-16 12:00:00
10,5979.9,22.3,47.1,2026-09-16 12:00:00
1,2265.6,21.7,40.9,2026-09-16 18:00:00
2,3661.8,23.5,52.1,2026-09-16 18:00:00
3,1358.4,20.4,37.8,2026-09-16 18:00:00
4,1293.2,20.5,54.6,2026-09-16 18:00:00
5,10706.6,30.1,18.2,2026-09-16 18:00:00
6,3693.9,23.8,62.2,2026-09-16 18:00:00
7,12759.2,25.8,43.8,2026-09-16 18:00:00
8,408.7,14.7,62.7,2026-09-16 18:00:00
9,1332.6,21.0,34.4,2026-09-16 18:00:00
10,2842.2,22.5,47.0,2026-09-16 18:00:00
